Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2022;Hilversum;961
0 jaar;2023;Hilversum;957
0 jaar;2022;Hoeksche Waard;846
0 jaar;2023;Hoeksche Waard;793
0 jaar;2022;Hoevelaken;
0 jaar;2023;Hoevelaken;
0 jaar;2022;Hoeven;
0 jaar;2023;Hoeven;
0 jaar;2022;Hof van Twente;288
0 jaar;2023;Hof van Twente;297
0 jaar;2022;Het Hogeland;418
0 jaar;2023;Het Hogeland;364
0 jaar;2022;Hollands Kroon;442
0 jaar;2023;Hollands Kroon;461
0 jaar;2022;Holten;
0 jaar;2023;Holten;
0 jaar;2022;Hontenisse;
0 jaar;2023;Hontenisse;
0 jaar;2022;Hooge en Lage Mierde;
0 jaar;2023;Hooge en Lage Mierde;
0 jaar;2022;Hooge en Lage Zwaluwe;
0 jaar;2023;Hooge en Lage Zwaluwe;
0 jaar;2022;Hoogeloon, Hapert en Casteren;
0 jaar;2023;Hoogeloon, Hapert en Casteren;
0 jaar;2022;Hoogeveen;550
0 jaar;2023;Hoogeveen;497
0 jaar;2022;Hoogezand-Sappemeer;
0 jaar;2023;Hoogezand-Sappemeer;
0 jaar;2022;Hoorn;784
0 jaar;2023;Hoorn;807
0 jaar;2022;Horn;
0 jaar;2023;Horn;
0 jaar;2022;Horst;
0 jaar;2023;Horst;
0 jaar;2022;Horst aan de Maas;411
0 jaar;2023;Horst aan de Maas;374
0 jaar;2022;Houten;539
0 jaar;2023;Houten;463
0 jaar;2022;Huijbergen;
0 jaar;2023;Huijbergen;
0 jaar;2022;Huissen;
0 jaar;2023;Huissen;
0 jaar;2022;Huizen;357
0 jaar;2023;Huizen;360
0 jaar;2022;Hulst;206
0 jaar;2023;Hulst;199
0 jaar;2022;Hummelo en Keppel;
0 jaar;2023;Hummelo en Keppel;
0 jaar;2022;Hunsel;
0 jaar;2023;Hunsel;
0 jaar;2022;IJsselham;
0 jaar;2023;IJsselham;
0 jaar;2022;IJsselmuiden;
0 jaar;2023;IJsselmuiden;
0 jaar;2022;IJsselstein;320
0 jaar;2023;IJsselstein;292
0 jaar;2022;Ilpendam;
0 jaar;2023;Ilpendam;
0 jaar;2022;Jacobswoude;
0 jaar;2023;Jacobswoude;
0 jaar;2022;Jisp;
0 jaar;2023;Jisp;
0 jaar;2022;Kaag en Braassem;320
0 jaar;2023;Kaag en Braassem;298
0 jaar;2022;Kamerik;
0 jaar;2023;Kamerik;
0 jaar;2022;Kampen;690
0 jaar;2023;Kampen;652
